,name,artist,spotify_id,release_date,genres
221,Wake Me Up,Avicii,0nrRP2bk19rLc0orkWPQk2,2013-01-01,['edm']
222,Demons,Imagine Dragons,5qaEfEh1AtSdrdrByCP7qR,2012-09-04,[]
223,Story of My Life,One Direction,4nVBt6MZDDP6tRVdQTgxJg,2013-11-25,[]
224,Chandelier,Sia,4VrWlk8IQxevMvERoX08iC,2014-07-04,[]
225,Black Widow,Iggy Azalea,71vsEyBd4X1D5BUmLdFSVH,2014-01-01,[]
226,Bang Bang,Jessie J & Ariana Grande & Nicki Minaj,0puf9yIluy9W0vpMEUoAnN,2014-10-10,[]
227,Latch,Disclosure,51ODNNDZm21HU7wI7cccRr,2013-06-03,['house']
228,Maps,Maroon 5,7oUHzZKNKUTrlU7DYxhQ7v,2015-05-18,['pop']
229,Loyal,Chris Brown,5BrTUo0xP1wKXLJWUaGFtk,2014-09-16,['r&b']
230,Best Day of My Life,American Authors,5Hroj5K7vLpIG4FNCRIjbP,2014-01-01,[]
231,Habits (Stay High),Tove Lo,18AJRdgUoO9EYn11N7xzaT,2014-09-24,[]
232,Summer,Calvin Harris,6YUTL4dYpB9xZO5qExPf05,2014-10-31,['edm']
233,Boom Clap,Charli XCX,7982sGZuvo5OXsY6REzgIn,2014-12-15,"['hyperpop', 'art pop']"
234,Drunk in Love,Beyoncé,6jG2YzhxptolDzLHTGLt7S,2014-11-24,[]
235,Anaconda,Nicki Minaj,5eqiMMbaeUZ32Q7sS00H35,2014-12-12,[]
236,Break Free,Ariana Grande,12KUFSHFgT0XCoiSlvdQi4,2014-08-22,['pop']
237,Bailando,Enrique Iglesias,5M830cD7MNeiiwIGHzH9TV,2014-07-04,"['latin pop', 'latin']"
238,Burn,Ellie Goulding,5lF0pHbsJ0QqyIrLweHJPW,2012-10-12,[]
239,Wiggle,Jason Derulo,4B4zDmbHdkXZ1wUJv1yKFy,2013-09-10,[]
240,Rather Be,Clean Bandit,61dCUoMCg28qEBzrW6htYM,2014-06-02,[]
241,Don't Tell 'Em,Jeremih,0Dc7J9VPV4eOInoxUiZrsL,2015-12-04,[]
242,Show Me,Kid Ink,4q6dqyGM25sKFU8nYAGRe4,2014-01-06,[]
243,Wrecking Ball,Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE,2013-10-04,[]
244,Not a Bad Thing,Justin Timberlake,3nB82yGjtbQFSU0JLAwLRH,2013-09-27,[]
245,Roar,Katy Perry,27tNWlhdAryQY04Gb2ZhUI,2013-01-01,['pop']
246,Ain't It Fun,Paramore,1j8z4TTjJ1YOdoFEDwJTQa,2013-04-05,"['pop punk', 'emo', 'emo pop']"
247,The Man,Aloe Blacc,4e6ZN0EcEqYx74BTC5xQzy,2013-01-01,[]
248,This Is How We Roll,Florida Georgia Line,2TR7A4ulH9R1PNwMyd8o8U,2013-01-01,"['country', 'pop country', 'acoustic country']"
249,Classic,MKTO,6FE2iI43OZnszFLuLtvvmg,2012,[]
250,A Sky Full of Stars,Coldplay,0FDzzruyVECATHXKHFs9eJ,2014-05-16,[]
251,Don't,Ed Sheeran,1huvTbEYtgltjQRXzrNKGi,2014-06-21,['soft pop']
252,Na Na,Trey Songz,5LIleJbUUgtvYnBW9wfY1W,2015-06-23,['r&b']
253,Hot Boy,Bobby Shmurda,4wfzdHEUMd2badwM40lLXu,2014-11-10,[]
254,"Hold On, We're Going Home",Drake,6jdOi5U5LBzQrc4c1VT983,2013-01-01,['rap']
255,Sing,Ed Sheeran,6K8qKeWo5MsFED7wCR6Kop,2014-06-21,['soft pop']
256,Radioactive,Imagine Dragons,62yJjFtgkhUrXktIoSjgP2,2012-09-04,[]
257,My Hitta,YG,5Egr4Kxqr7VGlwLz2FulYL,2014-03-18,[]
258,Cool Kids,Echosmith,13P5rwmk2EsoFRIz9UCeh9,2013-10-04,[]
259,Hey Brother,Avicii,4lhqb6JvbHId48OUJGwymk,2013-01-01,['edm']
260,Trumpets,Jason Derulo,6jizk5lOUnfpaZXYMdfeC6,2013-09-10,[]
261,Animals,Maroon 5,3h4T9Bg8OVSUYa6danHeH5,2015-05-18,['pop']
262,Burnin' It Down,Jason Aldean,32FcjEWPn4aSRqJ6loL01b,2014-10-07,"['country', 'acoustic country']"
263,Play It Again,Luke Bryan,03fT3OHB9KyMtGMt2zwqCT,2013-01-01,"['country', 'acoustic country']"
264,2 On,Tinashe,3jVtllWS5CFFWLQng8sKsr,2014-10-01,['alternative r&b']
265,Dirt,Florida Georgia Line,5CXnIPD6rTjszYYQm6fY2P,2014-10-14,"['country', 'pop country', 'acoustic country']"
266,Love Runs Out,OneRepublic,3cOO5IQtOYs7huq4Z6lYfr,2014-01-01,['soft pop']
267,Bottoms Up,Brantley Gilbert,7nDoBWDvf02SyD8kEQuuPO,2014-01-01,"['country', 'country rock', 'country hip hop', 'acoustic country']"
268,Shower,Becky G,3DmW6y7wTEYHJZlLo1r6XJ,2014-04-23,"['reggaeton', 'latin']"
269,Me and My Broken Heart,Rixton,1oew3nFNY3vMacJAsvry0S,2014-01-01,[]
270,Animals,Martin Garrix,0A9mHc7oYUoCECqByV8cQR,2013-06-17,"['edm', 'electronica', 'progressive house']"
271,Lifestyle,Rich Gang,7DTlsMOQjGysXHpwwpHuPl,2014-06-05,[]
272,American Kids,Kenny Chesney,1dgWTMoHwTUnQhOQ8SR5fV,2014-09-22,['country']
273,Brave,Sara Bareilles,6Uy6K3KdmUdAfelUp0SeXn,2013-07-16,[]
274,Sweater Weather,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,2013-04-22,[]
275,Leave the Night On,Sam Hunt,3wx2kQWPn9p5UppQbNhPAk,2014-10-24,"['country', 'pop country']"
276,New Flame,Chris Brown,3fBbfrWZUuWWrMQXFISr7N,2014-09-16,['r&b']
277,Love Never Felt So Good,Michael Jackson & Justin Timberlake,48td6xvpokdYwvbl3JIiXP,2014-05-09,[]
278,Drunk on a Plane,Dierks Bentley,1soxUgYIZb1qx1c7o1Lc7z,2014-01-01,['country']
279,Birthday,Katy Perry,2xLOMHjkOK8nzxJ4r6yOKR,2013-10-18,['pop']
280,Bartender,Lady Antebellum,1qFQKFt9fp1LU9QsvFbyPS,2014-09-30,"['country', 'pop country']"
281,La La La,Naughty Boy,3wPPWcVuinAU7dXcJXtCID,2013-01-01,[]
282,Blurred Lines,Robin Thicke,0n4bITAu0Y0nigrz3MFJMb,2013-01-01,[]
283,Do What U Want,Lady Gaga,5XKXMWPACPq51OiqzxenZo,2013-10-21,"['art pop', 'pop']"
284,Can't Remember to Forget You,Shakira,7o1Pm9jpH0wFpN5g793Lnq,2014-03-13,['latin pop']
285,Amnesia,5 Seconds of Summer,0dIOvducp7ujHTqj66cQ3X,2014-06-27,[]
286,No Mediocre,T.I.,0SqUFLaRXwufRUsJ0t4dXB,2014-10-17,['southern hip hop']
287,Come with Me Now,KONGOS,2kWowW0k4oFymhkr7LmvzO,2014-01-27,[]
288,Believe Me,Lil Wayne,6t2eIONH4Sax3R21QWiKNp,2014-05-28,"['rap', 'hip hop']"
289,23,Mike WiLL Made-It,20FZrLl9zSbO9b3DhaqO6M,2013-01-01,[]
290,Beachin',Jake Owen,5dNGORzxFb5z3v7vSAFkTU,2013-12-02,"['country', 'acoustic country']"
291,White Walls,Macklemore & Ryan Lewis,1MFD6gdVDjFFMM8ItH9ZhI,2012-10-09,[]
292,She Looks So Perfect,5 Seconds of Summer,1CQ2cMfrmFM1YdfmjENKVE,2014-06-27,[]
293,Stay the Night,Zedd,4bT2zLVv2T4GiK9q9KtI0v,2014-01-01,['edm']
294,Partition,Beyoncé,5hgnY0mVcVetszbb85qeDg,2014-11-24,[]
295,Studio,ScHoolboy Q,29gsi1zZrZxdStACmTQB0Z,2014-01-01,[]
296,0 to 100 / The Catch Up,Drake,4jtyUzZm9WLc2AdaJ1dso7,2013-07-14,['rap']
297,I Don't Dance,Lee Brice,5aj0xPGiEUN3aI2oOYu14S,2014-09-09,"['country', 'acoustic country']"
298,Somethin' Bad,Miranda Lambert & Carrie Underwood,6s9m5J92By7jii22Q2XtY2,2014-06-02,['country']
299,Adore You,Miley Cyrus,5AnCLGg35ziFOloEnXK4uu,2013-10-04,[]
300,Uptown Funk,Mark Ronson,32OlwWuMpZ6b0aN2RZOeMS,2015-01-12,[]
301,Thinking Out Loud,Ed Sheeran,34gCuhDGsG4bRPIf9bb02f,2014-06-21,['soft pop']
302,See You Again,Wiz Khalifa,2JzZzZUQj3Qff7wapcbKjc,2015,['rap']
303,Trap Queen,Fetty Wap,2d8JP84HNLKhmd6IYOoupQ,2015-09-25,[]
304,Sugar,Maroon 5,5d6Mjuu2uCGRPYpFjGpCX5,2015-05-18,['pop']
305,Shut Up and Dance,Walk the Moon,4kbj5MwxO1bq9wjT5g9HaA,2014-12-02,[]
306,Blank Space,Taylor Swift,1u8c2t2Cy7UBoG4ArRcF5g,2014-01-01,[]
307,Watch Me,Silentó,5RIVoVdkDLEygELLCniZFr,2015-05-04,[]
308,Earned It,The Weeknd,1cQ3LIkZE68pMSnPhZWXLu,2021-02-05,[]
309,The Hills,The Weeknd,7fBv7CLKzipRk6EC6TWHOB,2015-08-28,[]
310,Cheerleader,OMI,7vFoFDWqTX0mHzLfrF1Cfy,2015-10-16,[]
311,Can't Feel My Face,The Weeknd,22VdIZQfgXJea34mQxlt81,2015-08-28,[]
312,Love Me Like You Do,Ellie Goulding,0Cy7wt6IlRfBPHXXjmZbcP,2018-02-09,[]
313,Take Me to Church,Hozier,3dYD57lRAUcMHufyqn9GcI,2014-09-19,[]
314,Bad Blood,Taylor Swift,0TvQLMecTE8utzoNmvXRbK,2014-01-01,[]
315,Lean On,Major Lazer & DJ Snake,3qTT9L5f68FWVkaYqHjKpq,2019-03-05,['moombahton']
316,Want to Want Me,Jason Derulo,7oGZAicScQt96OAW4AruYy,2015-05-29,[]
317,Shake It Off,Taylor Swift,0cqRj7pUJDkTCEsJkx8snD,2014-01-01,[]
318,Where Are Ü Now,Skrillex & Diplo & Jack Ü,66hayvUbTotekKU3H4ta1f,2015-02-24,[]
319,Fight Song,Rachel Platten,37f4ITSlgPX81ad2EvmVQr,2016-01-01,[]
320,679,Fetty Wap,5NQbUaeTEOGdD6hHcre0dZ,2015-06-29,[]
321,Lips Are Movin,Meghan Trainor,3fNaQSMgFrYTkTshRX7J1u,2015-01-09,[]
322,Worth It,Fifth Harmony,41Fflg7qHiVOD6dEPvsCzO,2015-01-30,[]
323,Post to Be,Omarion,0fgZUSa7D7aVvv3GfO0A1n,2014-12-02,['r&b']
324,"Honey, I'm Good.",Andy Grammer,4Tt6GiWS2V9sQjZjS2xjp2,2014-08-05,[]
325,I'm Not the Only One,Sam Smith,7795WJLVKJoAyVoOtCWqXN,2014-05-26,['soft pop']
326,Good for You,Selena Gomez,5xdVqHtFS0eLuNp4Z8Wbpa,2015-10-09,['pop']
327,All About That Bass,Meghan Trainor,5jE48hhRu8E6zBDPRSkEq7,2015-01-12,[]
328,Style,Taylor Swift,0ug5NqcwcFR2xrfTkc7k8e,2014-01-01,[]
329,Hotline Bling,Drake,0wwPcA6wtMf6HUMpIRdeP7,2016-05-06,['rap']
330,Hey Mama,David Guetta,285HeuLxsngjFn4GGegGNm,2014-11-10,"['edm', 'dance']"
331,G.D.F.R.,Flo Rida,3D2L5xPKcnsYFjUAAFm4AS,2015-01-21,[]
332,What Do You Mean?,Justin Bieber,4B0JvthVoAAuygILe3n4Bs,2015-11-13,[]
333,Photograph,Ed Sheeran,1HNkqx9Ahdgi1Ixy2xkKkL,2014-06-21,['soft pop']
334,Hello,Adele,1Yk0cQdMLx5RzzFTYwmuld,2015-11-20,['soft pop']
335,Stitches,Shawn Mendes,5jsw9uXEGuKyJzs0boZ1bT,2015-04-14,[]
336,Talking Body,Tove Lo,7cgu4JBW3hq1GwTM1ilkKQ,2014-09-24,[]
337,Jealous,Nick Jonas,2RqtfcLB7iOZj0zYB8Auhu,2015-11-20,[]
338,Time of Our Lives,Pitbull & Ne-Yo,2bJvI42r8EF3wxjOuDav4r,2014-11-24,[]
339,Locked Away,R. City,7x5xYW5W42OGPAdHUyyguy,2015-10-09,[]
340,Somebody,Natalie La Rose,7ioiB40H9xKs04QtIso2I3,2014-01-06,[]
341,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,78TTtXnFQPzwqlbtbwqN0y,2015-01-24,[]
342,Centuries,Fall Out Boy,04aAxqtGp5pv12UXAg4pkq,2015-01-16,"['emo', 'pop punk', 'emo pop']"
343,My Way,Fetty Wap,1WoOzgvz6CgH4pX6a1RKGp,2015-09-25,[]
344,Take Your Time,Sam Hunt,6DEaND0SHv3sC11xobZLiy,2014-10-24,"['country', 'pop country']"
345,Animals,Maroon 5,3h4T9Bg8OVSUYa6danHeH5,2015-05-18,['pop']
346,I Don't Fuck with You,Big Sean,7FYH5AW3bVfZHJIQpq3UOA,2015-02-23,[]
347,Bitch Better Have My Money,Rihanna,0NTMtAO2BV4tnGvw9EgBVq,2015-03-26,[]
348,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,4T0ScSPdQKmGvruK7pavNP,2015-02-10,['southern hip hop']
349,Nasty Freestyle,T-Wayne,0PT7nlpo11hYYyfnBgtilT,2015-05-04,[]
350,Only,Nicki Minaj,1UZ25gykR30Oewh3dBRtVZ,2014-12-12,[]
351,Elastic Heart,Sia,6kwAbEjseqBob48jCus7Sz,2014-07-04,[]
352,Cool for the Summer,Demi Lovato,3uwnnTQcHM1rDqSfA4gQNz,2015-01-01,[]
353,Renegades,X Ambassadors,0fYVliAYKHuPmECRs1pbRf,2015-06-30,[]
354,I Don't Mind,Usher,7aXuop4Qambx5Oi3ynsKQr,2014-11-21,['r&b']
355,Love Me Harder,Ariana Grande & The Weeknd,5J4ZkQpzMUFojo1CtAZYpn,2014-08-22,['pop']
356,Wildest Dreams,Taylor Swift,3fVnlF4pGqWI9flVENcT28,2014-01-01,[]
357,Stay with Me,Sam Smith,5Nm9ERjJZ5oyfXZTECKmRt,2014-05-26,['soft pop']
358,You Know You Like It,DJ Snake & AlunaGeorge,57kR5SniQIbsbVoIjjOUDa,2014-10-14,[]
359,Uma Thurman,Fall Out Boy,5PUawWFG1oIS2NwEcyHaCr,2015-01-16,"['emo', 'pop punk', 'emo pop']"
360,7/11,Beyoncé,02M6vucOvmRfMxTXDUwRXu,2014-11-24,[]
361,The Heart Wants What It Wants,Selena Gomez,6wJwkMo278iWVlWl1XQ4WA,2014-01-01,['pop']
362,Girl Crush,Little Big Town,11qh54D0PKkBwelpDxxiEU,2014-10-17,['country']
363,Slow Motion,Trey Songz,4NYwy0R3NdvORX2B6OZXBT,2015-06-23,['r&b']
364,Drag Me Down,One Direction,2K87XMYnUMqLcX3zvtAF4G,2015-11-13,[]
365,Truffle Butter,Nicki Minaj,7e44z4wOjkllaD8eulUeMd,2014-12-15,[]
366,One Last Time,Ariana Grande,7xoUc6faLbCqZO6fQEYprd,2014-08-22,['pop']
367,Chains,Nick Jonas,5UsW4W8VgHrRLDzXQ9XSpt,2016-06-10,[]
368,All Eyes on You,Meek Mill,0hy1SOTEn9ifXTzOwnCwEr,2015-06-29,['rap']
369,No Type,Rae Sremmurd,4scpF6J5uMBvoh6sFB7EL1,2015-01-06,[]
370,Riptide,Vance Joy,7yq4Qj7cqayVTp3FF9CWbm,2014-09-08,['folk pop']
371,Classic Man,Jidenna,3G7XYAwtxtoGK7fAm4IlD9,2015-02-03,[]
372,Ex's & Oh's,Elle King,70eDxAyAraNTiD6lx2ZEnH,2015-02-13,[]
373,Dear Future Husband,Meghan Trainor,3cU2wBxuV6nFiuf6PJZNlC,2015-01-12,[]
374,Marvin Gaye,Charlie Puth,4LfkoDOt4mhrbo8Ndk37sQ,2015-11-05,"['soft pop', 'pop']"
375,Like I'm Gonna Lose You,Meghan Trainor,2YlZnw2ikdb837oKMKjBkW,2015-01-12,[]
376,Habits (Stay High),Tove Lo,18AJRdgUoO9EYn11N7xzaT,2014-09-24,[]
377,The Hanging Tree,James Newton Howard,416MsJxvxSKY96DCmbJIRs,2014-11-21,['soundtrack']
378,CoCo,O.T. Genasis,2JI71GHwq2LN8mtq3iCLYo,2014-11-10,[]
379,Bang Bang,Jessie J & Ariana Grande & Nicki Minaj,0puf9yIluy9W0vpMEUoAnN,2014-10-10,[]
380,Lay Me Down,Sam Smith,74sb4Gib0cL3TQeCjYF8vh,2014-05-26,['soft pop']
381,Tuesday,ILoveMakonnen,35rSpXB5bk9ega9jsjcRts,2014-12-15,[]
382,Hit the Quan,iLoveMemphis,4OjuzM3rTWp3q60mEldNSF,2015-10-09,[]
383,Downtown,Macklemore & Ryan Lewis,5pfJsMwoRYKampPay8amX0,2016-02-26,[]
384,House Party,Sam Hunt,1TwLKNsCnhi1HxbIi4bAW0,2014-10-24,"['country', 'pop country']"
385,Ayo,Chris Brown & Tyga,0k6DnZMLoEUH8NGD5zh2SE,2015-02-24,['r&b']
386,Kick the Dust Up,Luke Bryan,5g15o2Sm55Hn9ShK5yEXgp,2015-08-07,"['country', 'acoustic country']"
387,Blessings,Big Sean,1bzM1cd6oqFozdr4wK6HdR,2015-02-23,[]
388,Budapest,George Ezra,2ixsaeFioXJmMgkkbd4uj1,2014-06-30,[]
389,Chandelier,Sia,4VrWlk8IQxevMvERoX08iC,2014-07-04,[]
390,Heartbeat Song,Kelly Clarkson,7FC9Lng8iXU081lbigu8m8,2015-02-27,['christmas']
391,Don't,Ed Sheeran,1huvTbEYtgltjQRXzrNKGi,2014-06-21,['soft pop']
392,Ghost,Ella Henderson,4XPWKmy05Rcff6TLHNoNF8,2014-10-13,[]
393,Here,Alessia Cara,5zUQZjVB6bfewBXWqsP9PY,2015-11-13,[]
394,Waves,Mr Probz,1HFfMOxCAT4GAwaPfCdmUs,2014-02-07,[]
395,El Perdón,Nicky Jam & Enrique Iglesias,7qCAVkHWZkF44OzOUKf8Cr,2017-01-20,"['reggaeton', 'latin']"
396,She Knows,Ne-Yo,36lO0n3hzVK9zJONfSdmKC,2015-02-13,[]
397,Night Changes,One Direction,5O2P9iiztwhomNh8xkR9lJ,2014-11-17,[]
398,Back to Back,Drake,5lFDtgWsjRJu8fPOAyJIAK,2015-07-31,['rap']
399,How Deep Is Your Love,Calvin Harris & Disciples,4slBllHFZYlpg3IjeX5CBl,2024-08-08,['edm']
400,Love Yourself,Justin Bieber,50kpGaPAhYJ3sGmk6vplg0,2015-11-13,[]
401,Sorry,Justin Bieber,09CtPGIpYB4BrO8qb1RGsF,2015-11-13,[]
402,One Dance,Drake,1zi7xx7UVEFkmKfv06H8x0,2016-05-06,['rap']
403,Work,Rihanna,72TFWvU3wUYdUuxejTTIzt,2016-01-28,[]
404,Stressed Out,Twenty One Pilots,3CRDbSIZ4r5MsZ0YwxuEkn,2015-05-15,[]
405,Panda,Desiigner,275a9yzwGB6ncAW4SxY7q3,2016-02-26,[]
406,Hello,Adele,1Yk0cQdMLx5RzzFTYwmuld,2015-11-20,['soft pop']
407,Don't Let Me Down,The Chainsmokers,1i1fxkWeaMmKEB4T7zqbzK,2016-02-05,[]
408,Can't Stop the Feeling!,Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,2016-05-06,[]
409,Closer,The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,2016-07-29,[]
410,Cheap Thrills,Sia,27SdWb2rFzO6GWiYDBTD9j,2016-01-29,[]
411,7 Years,Lukas Graham,5kqIPrATaCc2LqxVWzQGbk,2016-04-01,[]
412,Needed Me,Rihanna,4pAl7FkDMNBsjykPXo91B3,2016-01-28,[]
413,My House,Flo Rida,6Knv6wdA0luoMUuuoYi2i1,2015-04-07,[]
414,I Took a Pill in Ibiza,Mike Posner,0vbtURX4qv1l7besfwmnD8,2016-05-06,[]
415,Work from Home,Fifth Harmony,4tCtwWceOPWzenK2HAIJSb,2016-05-27,[]
416,This Is What You Came For,Calvin Harris,2vlDrKpOC0eSTqTDRcbYyw,2024-08-08,['edm']
417,Cake by the Ocean,DNCE,76hfruVvmfQbw0eYn1nmeC,2016-11-18,[]
418,"Me, Myself & I",G-Eazy & Bebe Rexha,40YcuQysJ0KlGQTeGUosTC,2015-12-04,[]
419,Ride,Twenty One Pilots,2Z8WuEywRWYTKe1NybPQEW,2015-05-15,[]
420,Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,2016-06-16,[]
421,Pillowtalk,Zayn,0PDUDa38GO8lMxLCRc4lL1,2016-03-25,[]
422,Stitches,Shawn Mendes,5jsw9uXEGuKyJzs0boZ1bT,2015-04-14,[]
423,Hotline Bling,Drake,0wwPcA6wtMf6HUMpIRdeP7,2016-05-06,['rap']
424,Cold Water,Major Lazer,13pVIIellD76zNT1APT1De,2018-10-19,['moombahton']
425,Send My Love (To Your New Lover),Adele,563SfWAHJs4FBZMkRN0IFN,2015-11-20,['soft pop']
426,Roses,The Chainsmokers,3vv9phIu6Y1vX3jcqaGz5Z,2015-06-16,[]
427,Treat You Better,Shawn Mendes,3QGsuHI8jO1Rx4JWLUh9jd,2017-04-20,[]
428,Too Good,Drake,3BtuIIrQlkujKPuWF2B85z,2016-05-06,['rap']
429,Low Life,Future,7EiZI6JVHllARrX9PUvAdX,2016-04-13,['rap']
430,What Do You Mean?,Justin Bieber,4B0JvthVoAAuygILe3n4Bs,2015-11-13,[]
431,The Hills,The Weeknd,7fBv7CLKzipRk6EC6TWHOB,2015-08-28,[]
432,Just Like Fire,P!nk,7K5dzhGda2vRTaAWYI3hrb,2016-04-15,[]
433,Broccoli,DRAM,7yyRTcZmCiyzzJlNzGC9Ol,2016-10-21,[]
434,Don't,Bryson Tiller,3pXF1nA74528Edde4of9CC,2015-10-02,['r&b']
435,Dangerous Woman,Ariana Grande,3nef5W8jTkXrOKgCu4kmq7,2016-04-01,['pop']
436,Jumpman,Drake & Future,27GmP9AWRs744SzKcpJsTZ,2015-09-20,['rap']
437,"I Hate U, I Love U",Gnash,7vRriwrloYVaoAe3a9wJHe,2016-03-25,[]
438,Here,Alessia Cara,5zUQZjVB6bfewBXWqsP9PY,2015-11-13,[]
439,Same Old Love,Selena Gomez,6ZANrVuAMp2rpjhfbOuJly,2015-10-09,['pop']
440,Controlla,Drake,3O8NlPh2LByMU9lSRSHedm,2016-05-06,['rap']
441,Like I'm Gonna Lose You,Meghan Trainor,2YlZnw2ikdb837oKMKjBkW,2015-01-12,[]
442,One Call Away,Charlie Puth,5MwIGPDKeDb7SpblcaQP6O,2015-11-05,"['soft pop', 'pop']"
443,Let It Go,James Bay,3nnG7AM9QopHVPEuLX3Khk,2015-03-20,[]
444,No,Meghan Trainor,0l0CvurVUrr2w3Jj1hOVFc,2017-05-12,[]
445,Never Forget You,Zara Larsson & MNEK,6hmhG1b4LEyNuashVvuIAo,2017-03-17,[]
446,Let Me Love You,DJ Snake,0lYBSQXN6rCTvUZvg9S0lU,2016-08-05,[]
447,Don't Mind,Kent Jones,27PmvZoffODNFW2p7ehZTQ,2016-04-25,[]
448,H.O.L.Y.,Florida Georgia Line,0BCy325UZyR9z0t0uxwn2N,2016-08-26,"['country', 'pop country', 'acoustic country']"
